bfs_nr_fiscal_power,community_name,value_fiscal_power,normalized_value_fiscal_power,bfs_nr_social_assistance,value_social_assistance,normalized_value_social_assistance,bfs_nr,number_of_foreigners,foreigners_percentage,normalized_number_of_foreigners,normalized_foreigners_percentage,number_of_inhabitants,area,inhabitants_per_km2,district,electoral_district,normalized_number_of_inhabitants,normalized_area,normalized_inhabitants_per_km2,rating,normalized_rating
3272,Gams,1960,4.8,3272,0.8,4.75,3272,868,24.0709927898,3,40,3606,2227.0,162,Werdenberg,Werdenberg,3,4.0,0.75,14.3,21
3405,Jonschwil,2104,6.3,3405,0.7,4.0,3405,487,12.2948750316,2,14,3961,1099.0,360,Untertoggenburg,Wil,4,2.0,1.5,13.8,20
3424,Oberbüren,2015,5.3999999999999995,3424,0.7,4.0,3424,578,12.5980819529,2,15,4588,1773.0,259,Wil,Wil,5,3.25,1.25,13.899999999999999,20
3212,Eggersriet,2179,6.8999999999999995,3212,0.7,4.0,3212,224,9.475465313,1,8,2364,890.0,266,Rorschach,St. Gallen,2,1.5,1.25,13.649999999999999,19
3219,Untereggen,2313,8.4,3219,0.6,3.5,3219,84,8.1871345029,0,5,1026,713.0,144,Rorschach,Rorschach,0,1.25,0.5,13.65,19
3423,Niederhelfenschwil,2090,6.0,3423,0.6,3.5,3423,247,7.7163386442,1,4,3201,1637.0,196,Wil,Wil,3,3.0,0.75,13.25,19
3297,Vilters-Wangs,1894,4.2,3297,0.4,2.25,3297,866,17.2681954138,3,25,5015,3272.0,153,Sargans,Sarganserland,5,5.75,0.75,12.95,18
3312,Benken (SG),1899,4.2,3312,0.9,5.25,3312,370,12.2597746852,1,14,3018,1649.0,183,Gaster,See-Gaster,3,3.0,0.75,13.2,18
3202,Muolen,1885,4.2,3202,1.0,5.75,3202,123,9.8164405427,0,9,1253,1033.0,121,St. Gallen,St. Gallen,0,1.75,0.5,12.2,16
3378,Neckertal,1473,0.0,3378,2.0,11.75,3378,439,10.6450048497,2,11,6324,81.84,77,Neutoggenburg Untertoggenburg,Toggenburg,7,0.0,0.25,12.0,16
3253,Marbach (SG),2021,5.3999999999999995,3253,0.3,1.75,3253,433,20.2620496022,2,32,2137,438.0,488,Oberrheintal,Rheintal,2,0.75,2.25,10.149999999999999,12
3256,Rüthi (SG),2056,5.7,3256,0.2,1.25,3256,585,23.6650485437,2,39,2472,933.0,265,Oberrheintal,Rheintal,2,1.75,1.25,9.95,11
3211,Berg (SG),2263,7.8,3211,0.0,0.0,3211,118,11.9433198381,0,14,988,376.0,263,Rorschach,Rorschach,0,0.75,1.25,9.8,11
3201,Häggenschwil,2096,6.0,3201,0.2,1.25,3201,139,9.9784637473,0,9,1393,907.0,154,St. Gallen,St. Gallen,1,1.5,0.75,9.5,10
3252,Eichberg,1959,4.8,3252,0.4,2.25,3252,253,16.2596401028,1,23,1556,544.0,286,Oberrheintal,Rheintal,1,1.0,1.25,9.3,10
3393,Lütisburg,1690,2.1,3393,0.4,2.25,3393,250,15.4416306362,1,21,1619,1410.0,115,Alttoggenburg,Toggenburg,1,2.5,0.5,7.35,5
3375,Oberhelfenschwil,1754,2.6999999999999997,3375,0.3,1.75,3375,140,11.2359550562,0,12,1246,12.68,98,Neutoggenburg,Toggenburg,0,0.0,0.5,4.949999999999999,0
3372,Hemberg,1609,1.2,3372,0.6,3.5,3372,59,6.1844863732,0,1,954,20.15,47,Neutoggenburg,Toggenburg,0,0.0,0.25,4.95,0
